docname,topic,proportion
gpt.txt:16,013,1.0
gpt.txt:51,000,1.0
gpt.txt:86,002,1.0
gpt.txt:121,006,1.0
gpt.txt:156,000,1.0
gpt.txt:191,005,1.0
gpt.txt:226,008,1.0
gpt.txt:261,003,1.0
gpt.txt:296,000,0.427757
gpt.txt:296,001,0.31632
gpt.txt:296,002,0.255924
gpt.txt:331,018,1.0
gpt.txt:387,003,1.0
gpt.txt:422,000,0.427757
gpt.txt:422,001,0.31632
gpt.txt:422,002,0.255924
gpt.txt:457,001,1.0
gpt.txt:492,001,1.0
gpt.txt:527,001,1.0
gpt.txt:562,000,0.427757
gpt.txt:562,001,0.31632
gpt.txt:562,002,0.255924
gpt.txt:597,024,1.0
gpt.txt:632,009,1.0
gpt.txt:667,000,0.427757
gpt.txt:667,001,0.31632
gpt.txt:667,002,0.255924
gpt.txt:3,005,1.0
gpt.txt:38,000,0.427757
gpt.txt:38,001,0.31632
gpt.txt:38,002,0.255924
gpt.txt:73,000,1.0
gpt.txt:108,000,1.0
gpt.txt:143,005,1.0
gpt.txt:178,014,1.0
gpt.txt:213,001,1.0
gpt.txt:248,003,1.0
gpt.txt:283,000,0.427757
gpt.txt:283,001,0.31632
gpt.txt:283,002,0.255924
gpt.txt:318,004,1.0
gpt.txt:353,003,1.0
gpt.txt:374,004,1.0
gpt.txt:409,000,0.427757
gpt.txt:409,001,0.31632
gpt.txt:409,002,0.255924
gpt.txt:444,020,1.0
gpt.txt:479,016,1.0
gpt.txt:514,000,0.427757
gpt.txt:514,001,0.31632
gpt.txt:514,002,0.255924
gpt.txt:549,004,1.0
gpt.txt:584,001,1.0
gpt.txt:619,000,0.427757
gpt.txt:619,001,0.31632
gpt.txt:619,002,0.255924
gpt.txt:654,019,1.0
gpt.txt:689,015,1.0
gpt.txt:1,000,1.0
gpt.txt:36,000,0.427757
gpt.txt:36,001,0.31632
gpt.txt:36,002,0.255924
gpt.txt:71,016,1.0
gpt.txt:106,001,1.0
gpt.txt:141,000,0.427757
gpt.txt:141,001,0.31632
gpt.txt:141,002,0.255924
gpt.txt:176,012,1.0
gpt.txt:211,001,1.0
gpt.txt:246,015,1.0
gpt.txt:281,015,1.0
gpt.txt:316,006,1.0
gpt.txt:351,003,1.0
gpt.txt:372,001,1.0
gpt.txt:407,021,1.0
gpt.txt:442,002,1.0
gpt.txt:477,008,1.0
gpt.txt:512,010,1.0
gpt.txt:547,008,1.0
gpt.txt:582,003,1.0
gpt.txt:617,003,1.0
gpt.txt:652,019,1.0
gpt.txt:687,015,1.0
gpt.txt:22,012,1.0
gpt.txt:57,005,1.0
gpt.txt:92,000,0.427757
gpt.txt:92,001,0.31632
gpt.txt:92,002,0.255924
gpt.txt:127,010,1.0
gpt.txt:162,000,0.427757
gpt.txt:162,001,0.31632
gpt.txt:162,002,0.255924
gpt.txt:197,000,0.427757
gpt.txt:197,001,0.31632
gpt.txt:197,002,0.255924
gpt.txt:232,020,1.0
gpt.txt:267,000,0.427757
gpt.txt:267,001,0.31632
gpt.txt:267,002,0.255924
gpt.txt:302,000,0.427757
gpt.txt:302,001,0.31632
gpt.txt:302,002,0.255924
gpt.txt:337,000,0.427757
gpt.txt:337,001,0.31632
gpt.txt:337,002,0.255924
gpt.txt:358,000,1.0
gpt.txt:393,015,1.0
gpt.txt:428,000,0.427757
gpt.txt:428,001,0.31632
gpt.txt:428,002,0.255924
gpt.txt:463,000,0.427757
gpt.txt:463,001,0.31632
gpt.txt:463,002,0.255924
gpt.txt:498,017,1.0
gpt.txt:533,016,1.0
gpt.txt:568,000,0.427757
gpt.txt:568,001,0.31632
gpt.txt:568,002,0.255924
gpt.txt:603,000,1.0
gpt.txt:638,009,1.0
gpt.txt:673,005,1.0
gpt.txt:30,000,0.427757
gpt.txt:30,001,0.31632
gpt.txt:30,002,0.255924
gpt.txt:65,001,1.0
gpt.txt:100,002,1.0
gpt.txt:135,012,1.0
gpt.txt:170,005,1.0
gpt.txt:205,000,0.427757
gpt.txt:205,001,0.31632
gpt.txt:205,002,0.255924
gpt.txt:240,010,1.0
gpt.txt:275,000,0.427757
gpt.txt:275,001,0.31632
gpt.txt:275,002,0.255924
gpt.txt:310,000,0.427757
gpt.txt:310,001,0.31632
gpt.txt:310,002,0.255924
gpt.txt:345,003,1.0
gpt.txt:366,007,1.0
gpt.txt:401,008,1.0
gpt.txt:436,014,1.0
gpt.txt:471,000,0.427757
gpt.txt:471,001,0.31632
gpt.txt:471,002,0.255924
gpt.txt:506,008,1.0
gpt.txt:541,010,1.0
gpt.txt:576,006,1.0
gpt.txt:611,000,1.0
gpt.txt:646,009,1.0
gpt.txt:681,003,1.0
gpt.txt:28,000,0.427757
gpt.txt:28,001,0.31632
gpt.txt:28,002,0.255924
gpt.txt:63,001,1.0
gpt.txt:98,000,0.427757
gpt.txt:98,001,0.31632
gpt.txt:98,002,0.255924
gpt.txt:133,011,1.0
gpt.txt:168,006,1.0
gpt.txt:203,016,1.0
gpt.txt:238,000,0.427757
gpt.txt:238,001,0.31632
gpt.txt:238,002,0.255924
gpt.txt:273,000,1.0
gpt.txt:308,000,1.0
gpt.txt:343,000,0.427757
gpt.txt:343,001,0.31632
gpt.txt:343,002,0.255924
gpt.txt:364,009,1.0
gpt.txt:399,015,1.0
gpt.txt:434,000,0.427757
gpt.txt:434,001,0.31632
gpt.txt:434,002,0.255924
gpt.txt:469,012,1.0
gpt.txt:504,005,1.0
gpt.txt:539,010,1.0
gpt.txt:574,000,0.427757
gpt.txt:574,001,0.31632
gpt.txt:574,002,0.255924
gpt.txt:609,016,1.0
gpt.txt:644,009,1.0
gpt.txt:679,000,0.427757
gpt.txt:679,001,0.31632
gpt.txt:679,002,0.255924
gpt.txt:15,013,1.0
gpt.txt:50,000,0.427757
gpt.txt:50,001,0.31632
gpt.txt:50,002,0.255924
gpt.txt:85,002,1.0
gpt.txt:120,006,1.0
gpt.txt:155,012,1.0
gpt.txt:190,005,1.0
gpt.txt:225,008,1.0
gpt.txt:260,003,1.0
gpt.txt:295,000,0.427757
gpt.txt:295,001,0.31632
gpt.txt:295,002,0.255924
gpt.txt:330,004,1.0
gpt.txt:386,003,1.0
gpt.txt:421,010,1.0
gpt.txt:456,003,1.0
gpt.txt:491,001,1.0
gpt.txt:526,000,1.0
gpt.txt:561,003,1.0
gpt.txt:596,000,1.0
gpt.txt:631,003,1.0
gpt.txt:666,000,0.427757
gpt.txt:666,001,0.31632
gpt.txt:666,002,0.255924
gpt.txt:21,012,1.0
gpt.txt:56,001,1.0
gpt.txt:91,000,0.427757
gpt.txt:91,001,0.31632
gpt.txt:91,002,0.255924
gpt.txt:126,010,1.0
gpt.txt:161,000,0.427757
gpt.txt:161,001,0.31632
gpt.txt:161,002,0.255924
gpt.txt:196,000,0.427757
gpt.txt:196,001,0.31632
gpt.txt:196,002,0.255924
gpt.txt:231,020,1.0
gpt.txt:266,000,0.427757
gpt.txt:266,001,0.31632
gpt.txt:266,002,0.255924
gpt.txt:301,003,1.0
gpt.txt:336,000,0.427757
gpt.txt:336,001,0.31632
gpt.txt:336,002,0.255924
gpt.txt:357,000,0.427757
gpt.txt:357,001,0.31632
gpt.txt:357,002,0.255924
gpt.txt:392,010,1.0
gpt.txt:427,000,0.427757
gpt.txt:427,001,0.31632
gpt.txt:427,002,0.255924
gpt.txt:462,000,0.427757
gpt.txt:462,001,0.31632
gpt.txt:462,002,0.255924
gpt.txt:497,000,1.0
gpt.txt:532,002,1.0
